"","condo_name","district","age"
"2217","ST MICHAEL REGENCY","12",9
"2218","ST MICHAEL'S CONDOMINIUM","12",16
"2219","ST MICHAEL'S PLACE","12",21
"2220","ST NICHOLAS VIEW","20",19
"2221","ST PATRICK'S COURT","15",25
"2222","ST PATRICK'S GARDEN","15",37
"2223","ST PATRICK'S GREEN","15",NA
"2224","ST PATRICK'S LOFT","15",10
"2225","ST PATRICK'S RESIDENCES","15",5
"2226","ST PATRICK'S ROW","15",27
"2227","ST REGIS RESIDENCES","10",10
"2228","ST THOMAS COURT","09",NA
"2229","ST THOMAS LODGE","09",NA
"2230","ST THOMAS SUITES","09",8
"2231","ST THOMAS VILLE","09",18
"2232","STADIA","19",8
"2233","STAR MANSIONS","11",NA
"2234","STARLIGHT SUITES","10",3
"2235","STARPOINT","05",NA
"2236","STARVILLE","14",12
"2237","STELLAR RV","10",3
"2238","STEVENS COURT","10",NA
"2239","STEVENS LOFT","10",15
"2240","STEVENS SUITES","10",4
"2241","STILL MANSION","15",NA
"2242","STILLZ RESIDENCE","15",7
"2243","STRAITS GARDENS","27",13
"2244","STRAITS RESIDENCES","15",5
"2245","STRATA","11",12
"2246","STRATFORD COURT","16",20
"2247","STRATTON GREEN","28",15
"2248","STRATTON PARK","28",26
"2249","STRATUM","18",2
"2250","STUDIO 3","10",13
"2251","STUDIO8","14",4
"2252","STUDIOS @ MARNE","08",9
"2253","STUDIOS @ TEMBELING","15",6
"2254","STURDEE VIEW","08",20
"2255","SUFFOLK PREMIER","11",NA
"2256","SUI GENERIS","10",8
"2257","SUITES 123","08",8
"2258","SUITES 28","14",4
"2259","SUITES @ AMBER","15",7
"2260","SUITES @ BRADDELL","13",3
"2261","SUITES @ CAIRNHILL","09",8
"2262","SUITES @ CHANGI","15",5
"2263","SUITES @ EASTCOAST","15",4
"2264","SUITES @ EUNOS","14",4
"2265","SUITES @ GUILLEMARD","15",4
"2266","SUITES @ KATONG","15",4
"2267","SUITES @ KOVAN","19",6
"2268","SUITES @ NEWTON","11",2
"2269","SUITES @ OWEN","15",7
"2270","SUITES @ PAYA LEBAR","19",4
"2271","SUITES @ SHREWSBURY","11",5
"2272","SUITES @ SIMS","14",5
"2273","SUITES @ SURREY","11",10
"2274","SUITES @ TOPAZ","12",5
"2275","SUITES AT BUKIT TIMAH","21",3
"2276","SUITES AT ORCHARD","09",3
"2277","SUITES DE LAUREL","21",6
"2278","SUITES TWENTY-TWO","15",13
"2279","SULTAN GATE PLACE","07",NA
"2280","SUMMER GARDENS","16",19
"2281","SUMMER GREEN","12",22
"2282","SUMMER GROVE","19",NA
"2283","SUMMER PLACE","19",30
"2284","SUMMER SCENT","19",5
"2285","SUMMER VIEW","14",NA
"2286","SUMMER VILLAS","28",14
"2287","SUMMERDALE","22",17
"2288","SUMMERHILL","21",15
"2289","SUMMERLEA GREEN","21",20
"2290","SUMMITVILLE","23",12
"2291","SUN COURT","21",NA
"2292","SUN PLAZA","27",17
"2293","SUN ROSIER","19",33
"2294","SUNBIRD PARK","16",21
"2295","SUNCOTTAGES","23",3
"2296","SUNFLOWER COURT","14",NA
"2297","SUNFLOWER GRANDEUR","14",14
"2298","SUNFLOWER LODGE","14",NA
"2299","SUNFLOWER MANSIONS","14",16
"2300","SUNFLOWER REGENCY","14",10
"2301","SUNFLOWER RESIDENCE","14",17
"2302","SUNFLOWER VIEW","14",16
"2303","SUNGLADE","19",15
"2304","SUNGROVE","05",20
"2305","SUNHAVEN","16",15
"2306","SUNNY GROVE","14",22
"2307","SUNNY LODGE","14",4
"2308","SUNNY PALMS","15",14
"2309","SUNNY PARC","15",7
"2310","SUNNYVALE APARTMENTS","15",23
"2311","SUNNYVALE RESIDENCES","15",0
"2312","SUNRISE GARDENS","28",20
"2313","SUNRISE VILLA","28",25
"2314","SUNSET LODGE","21",16
"2315","SUNSHINE GRANDEUR","15",10
"2316","SUNSHINE GROVE","19",15
"2317","SUNSHINE LODGE","19",20
"2318","SUNSHINE LOFT","15",13
"2319","SUNSHINE MANSIONS","15",12
"2320","SUNSHINE PLAZA RESIDENCES","07",17
"2321","SUNSHINE REGENCY","15",11
"2322","SUNSHINE RESIDENCE","15",12
"2323","SUNVILLE","12",13
"2324","SURIN VILLAS","19",5
"2325","SURREY COURT","11",NA
"2326","SURREY POINT","11",NA
"2327","SUTTON PLACE","10",29
"2328","SWANN COURT","14",NA
"2329","SWEEBI HOUSE","21",NA
"2330","SWISS CLUB PARK","11",NA
"2331","SYCAMORE TREE","15",2
"2332","SYLVAN LODGE","10",12
"2333","SYMPHONY HEIGHTS","21",20
"2334","SYMPHONY SUITES","27",-1
"2335","TAI HWAN GARDEN","19",NA
"2336","TAI HWAN PARK","19",28
"2337","TAI KENG COURT","19",NA
"2338","TAI KENG GARDENS","19",NA
"2339","TAI KENG VILLAS","19",19
"2340","TAI PEI APARTMENTS","12",NA
"2341","TAI PENG GARDENS","19",NA
"2342","TAI WAH BUILDING","09",37
"2343","TAI YUAN GARDEN","19",NA
"2344","TAIPAN GRAND","15",13
"2345","TAIPAN JADE","15",13
"2346","TAIPAN REGENCY","15",15
"2347","TALIB CENTRE","07",NA
"2348","TALIB COURT","07",NA
"2349","TAMAN SIGLAP","15",12
"2350","TAN CHIN TUAN MANSION","09",10
"2351","TAN CHONG TOWER","07",NA
"2352","TAN QUEE LAN SUITES","07",12
"2353","TAN QUEE SWEE BUILDING","21",29
"2354","TAN TONG MENG TOWER","11",41
"2355","TANAH MERAH GREEN","16",18
"2356","TANAH MERAH MANSIONS","16",33
"2357","TANAMERA CREST","16",13
"2358","TANGERINE GROVE","19",11
"2359","TANGLIN HILL CONDOMINIUM","10",36
"2360","TANGLIN HILL MEADOWS","10",21
"2361","TANGLIN HILL VILLAS","10",21
"2362","TANGLIN PARK","10",29
"2363","TANGLIN REGENCY","10",20
"2364","TANGLIN RESIDENCES","10",13
"2365","TANGLIN VIEW","03",16
"2366","TANJONG RIA CONDOMINIUM","15",21
"2367","TEACHERS HOUSING ESTATE","26",NA
"2368","TECK GUAN VILLE","16",NA
"2369","TELOK BLANGAH HOUSE","04",NA
"2370","TELOK INDAH","15",23
"2371","TELOK KURAU LODGE","15",27
"2372","TELOK KURAU MANSION","15",NA
"2373","TELOK KURAU RIA","15",NA
"2374","TELOK MANSION","15",NA
"2375","TEMBELINA","15",NA
"2376","TEMBELING CENTRE","15",28
"2377","TEMBELING COURT","15",NA
"2378","TEMBELING GROVE","15",NA
"2379","TEMBELING MANSIONS","15",NA
"2380","TEMBELING RESIDENCE","15",5
"2381","TEN @ SUFFOLK","11",11
"2382","TERESA 8","04",10
"2383","TERESA VILLAS","04",7
"2384","TERESA VILLE","04",32
"2385","TERRACE VIEW","15",NA
"2386","TERRASSE","19",3
"2387","TERRENE AT BUKIT TIMAH","21",5
"2388","TESSA LODGE","15",10
"2389","TEXTILE CENTRE","07",NA
"2390","TG MANSION","15",NA
"2391","THE 101","07",NA
"2392","THE ABERDEEN","12",20
"2393","THE ABODE AT DEVONSHIRE","09",16
"2394","THE ACACIAS","13",9
"2395","THE ADARA","15",8
"2396","THE ALBRACCA","15",NA
"2397","THE ALCOVE","14",14
"2398","THE AMARELLE","14",8
"2399","THE AMBIENCE AT PUNGGOL","19",8
"2400","THE AMBRA","15",8
"2401","THE AMBROSIA","15",7
"2402","THE AMERALD STUDIO","15",6
"2403","THE AMERY","15",6
"2404","THE AMORE","19",1
"2405","THE AMSTON","23",20
"2406","THE ANCHORAGE","03",21
"2407","THE ANSLEY","11",14
"2408","THE ARC AT DRAYCOTT","10",10
"2409","THE ARCADIA","11",35
"2410","THE ARECA","19",15
"2411","THE ARIEL","15",7
"2412","THE ARISTO @ AMBER","15",5
"2413","THE ARIZON","14",9
"2414","THE ARMADALE","11",18
"2415","THE ARRIS","02",15
"2416","THE ARTE @ THOMSON","12",8
"2417","THE ASTERIA","15",NA
"2418","THE ASTON","10",16
"2419","THE ATRIA AT MEYER","15",22
"2420","THE AXIS","11",8
"2421","THE AZURE","04",10
"2422","THE AZZURO","15",7
"2423","THE BALE","15",9
"2424","THE BALMORAL","10",32
"2425","THE BALMORAL SPRING","10",17
"2426","THE BAYCOURT","16",24
"2427","THE BAYRON","09",20
"2428","THE BAYSHORE","16",19
"2429","THE BEACON","02",10
"2430","THE BEACON EDGE","15",9
"2431","THE BEAUMONT","09",33
"2432","THE BECCAGAYLE","15",12
"2433","THE BELLEFORTE","12",14
"2434","THE BELMONT","10",NA
"2435","THE BELVEDERE","15",10
"2436","THE BENCOOLEN","07",20
"2437","THE BENTLY RESIDENCES@KOVAN","19",0
"2438","THE BERTH BY THE COVE","04",12
"2439","THE BERTHSIDE","04",12
"2440","THE BEVERLY","21",5
"2441","THE BILTMORE","09",NA
"2442","THE BLISS","08",5
"2443","THE BLOSSOMVALE","21",19
"2444","THE BOTANIC ON LLOYD","09",12
"2445","THE BOULEVARD RESIDENCES","10",13
"2446","THE BOUTIQ","09",4
"2447","THE BREEZE BY THE EAST","16",7
"2448","THE BROWNSTONE","27",-1
"2449","THE CAIRNHILL","09",34
"2450","THE CALLISTA","12",12
"2451","THE CALROSE","26",10
"2452","THE CALYPSO","16",13
"2453","THE CANOPY","27",5
"2454","THE CAPE","15",4
"2455","THE CAPRI","10",20
"2456","THE CARPMAELINA","15",12
"2457","THE CASCADIA","10",7
"2458","THE CASSANDRA","05",12
"2459","THE CATHAY RESIDENCES","09",11
"2460","THE CENTRAL","01",11
"2461","THE CENTREN","14",1
"2462","THE CENTRIO","12",8
"2463","THE CENTRIS","22",9
"2464","THE CHAMPAGNE","14",14
"2465","THE CHANCERY RESIDENCE","11",12
"2466","THE CHERRYWOOD","15",NA
"2467","THE CHUAN","19",10
"2468","THE CITRINE","12",10
"2469","THE CITRON RESIDENCES","08",-1
"2470","THE CLAYMORE","09",33
"2471","THE CLAYTON","10",20
"2472","THE CLEARWATER","16",16
"2473","THE CLEMENTVALE","05",16
"2474","THE CLIFT","02",7
"2475","THE CLUB RESIDENCES BY CAPELLA SINGAPORE","04",NA
"2476","THE COAST AT SENTOSA COVE","04",9
"2477","THE COLONNADE","10",30
"2478","THE COMPASS AT CHANCERY","11",NA
"2479","THE CONCOURSE EXECUTIVE SUITES","07",NA
"2480","THE CORNWALL","10",13
"2481","THE COSMOPOLITAN","09",10
"2482","THE COTERIE @ HOLLAND","10",3
"2483","THE COTZ","15",6
"2484","THE COUNTRYSIDE","26",21
"2485","THE COURTYARD","19",23
"2486","THE CREEK @ BUKIT","21",1
"2487","THE CREST","10",0
"2488","THE CRISTALLO","15",4
"2489","THE CRITERION","27",0
"2490","THE DAFFODIL","16",19
"2491","THE DEW","23",14
"2492","THE DRAYCOTT","10",38
"2493","THE EASTSIDE","15",12
"2494","THE EBONY","14",5
"2495","THE EDEN AT TAMPINES","18",17
"2496","THE EDGE ON CAIRNHILL","09",15
"2497","THE EDGEWATER","17",15
"2498","THE ELEGANCE @ CHANGI","15",12
"2499","THE ELEMENT @ STEVENS","10",11
"2500","THE ELYSIA","12",13
"2501","THE EQUATORIAL","10",16
"2502","THE ESPARIS","18",12
"2503","THE ESPIRA","15",8
"2504","THE ESTA","15",10
"2505","THE ESTIVA","05",10
"2506","THE ESTORIL","10",34
"2507","THE ESTRELLA","05",9
"2508","THE ESTUARY","27",5
"2509","THE FERNHILL","10",9
"2510","THE FLORAVALE","22",18
"2511","THE FLORENTINE","19",8
"2512","THE FLORIDA","19",18
"2513","THE FOLIAGE","05",9
"2514","THE FORD @ HOLLAND","10",9
"2515","THE FORESTA @ MOUNT FABER","04",3
"2516","THE FORTUNE VIEW","13",19
"2517","THE GALE","17",5
"2518","THE GARDENS AT BISHAN","20",14
"2519","THE GARDENS AT GERALD","18",11
"2520","THE GERANIUM","15",11
"2521","THE GILSTEAD","10",NA
"2522","THE GLACIER","15",13
"2523","THE GLADES","16",1
"2524","THE GLENCAIRD RESIDENCES","10",18
"2525","THE GLYNDEBOURNE","11",4
"2526","THE GRANDHILL","05",13
"2527","THE GRANDIFLORA","15",13
"2528","THE GRANGE","10",10
"2529","THE GREEN COLLECTION","04",6
"2530","THE GREENWICH","28",4
"2531","THE GREENWOOD","11",7
"2532","THE GREENWOOD ESTATE","11",13
"2533","THE HACIENDA","15",33
"2534","THE HELICONIA","14",15
"2535","THE HERMITAGE","10",19
"2536","THE HILLFORD","21",1
"2537","THE HILLIER","23",2
"2538","THE HILLOFT","23",7
"2539","THE HILLPARK","11",40
"2540","THE HILLSIDE","21",17
"2541","THE HOLLAND COLLECTION","10",7
"2542","THE HORIZON","10",15
"2543","THE HUNTINGTON","11",18
"2544","THE IMPERIAL","09",12
"2545","THE INFINITI","05",10
"2546","THE INFLORA","17",1
"2547","THE INGLEWOOD","20",28
"2548","THE INSPIRA","09",9
"2549","THE INTERLACE","04",5
"2550","THE INTERWEAVE","12",3
"2551","THE JADE","23",14
"2552","THE LADYHILL","10",15
"2553","THE LAKEFRONT RESIDENCES","22",4
"2554","THE LANAI","23",3
"2555","THE LATTIZ","14",8
"2556","THE LAURELS","09",4
"2557","THE LEGACY","10",19
"2558","THE LEGEND","10",22
"2559","THE LENOX","14",6
"2560","THE LENTOR RESIDENCE","26",NA
"2561","THE LEVELZ","10",14
"2562","THE LIGHT @ CAIRNHILL","09",14
"2563","THE LIGHTHOUSE","17",14
"2564","THE LINC","11",12
"2565","THE LINCOLN MODERN","11",15
"2566","THE LINCOLN RESIDENCES","11",6
"2567","THE LINE @ TANJONG RHU","15",3
"2568","THE LINEAR","23",12
"2569","THE LOFT","10",16
"2570","THE LUCENT","15",6
"2571","THE LUMIERE","02",8
"2572","THE LUMOS","09",7
"2573","THE LUSH","15",3
"2574","THE LUXE","09",11
"2575","THE LUXURIE","19",3
"2576","THE MADEIRA","23",16
"2577","THE MAKENA","15",20
"2578","THE MARBELLA","10",13
"2579","THE MARQ ON PATERSON HILL","09",7
"2580","THE MARQUE AT IRRAWADDY","12",9
"2581","THE MAYFAIR","22",18
"2582","THE MAYLEA","05",9
"2583","THE MEDALLION","13",9
"2584","THE MEDLEY","15",9
"2585","THE MERASAGA","10",23
"2586","THE MERCURY","10",6
"2587","THE MERLOT","08",9
"2588","THE METROPOLITAN","03",9
"2589","THE METZ","09",11
"2590","THE MEYER PLACE","15",25
"2591","THE MEYERISE","15",2
"2592","THE MEZZO","12",4
"2593","THE MIDAS","14",NA
"2594","THE MILTONIA RESIDENCES","27",4
"2595","THE MINT RESIDENCES","15",10
"2596","THE MINTON","19",4
"2597","THE MKZ","09",1
"2598","THE MODULES","15",9
"2599","THE MONDRIAN","21",16
"2600","THE MONTAGE","15",8
"2601","THE MONTANA","10",16
"2602","THE MORNING DEW","28",NA
"2603","THE MORNING GLORY","19",14
"2604","THE MORNINGSIDE","09",25
"2605","THE MORNINGTON","12",14
"2606","THE NAUTICAL","27",2
"2607","THE NAVIGATORS","15",NA
"2608","THE NCLAVE","15",10
"2609","THE NEXUS","21",11
"2610","THE OCEANFRONT @ SENTOSA COVE","04",8
"2611","THE OCTET","14",1
"2612","THE ODEON KATONG","15",NA
"2613","THE OLD HOUSE","19",NA
"2614","THE OLIV","10",5
"2615","THE ORANGE GROVE","10",8
"2616","THE ORCHARD RESIDENCES","09",8
"2617","THE ORIENT","05",0
"2618","THE OXLEY","09",21
"2619","THE PALETTE","18",2
"2620","THE PALLADIUM","15",15
"2621","THE PANORAMA","20",-1
"2622","THE PARC CONDOMINIUM","05",8
"2623","THE PARK VALE","11",21
"2624","THE PATERSON","09",14
"2625","THE PATERSON EDGE","09",19
"2626","THE PEAK","05",30
"2627","THE PEAK @ BALMEG","05",7
"2628","THE PEAK @ CAIRNHILL I","09",4
"2629","THE PEAK @ CAIRNHILL II","09",0
"2630","THE PEARL @ MOUNT FABER","04",13
"2631","THE PETALS","23",16
"2632","THE PIER @ ROBERTSON","09",12
"2633","THE PLATINUM","01",NA
"2634","THE PLATINUM RESIDENCE","14",NA
"2635","THE PLAZA","07",NA
"2636","THE POIZ RESIDENCES","13",-1
"2637","THE PRIMERO","14",NA
"2638","THE PRINCETON","10",19
"2639","THE PROMENADE@PELIKAT","19",2
"2640","THE PROMINENCE","15",13
"2641","THE PROMONT","09",8
"2642","THE QUARTZ","19",9
"2643","THE QUAYSIDE","09",20
"2644","THE QUINN","19",2
"2645","THE QUINTET","23",12
"2646","THE RAINTREE","21",10
"2647","THE RED HOUSE","15",4
"2648","THE REGALIA","09",25
"2649","THE REGENCY AT TIONG BAHRU","03",8
"2650","THE RESIDENCES AT W SENTOSA COVE","04",8
"2651","THE RICHMOND","12",19
"2652","THE RISE @ OXLEY RESIDENCES","09",0
"2653","THE RITZ-CARLTON RESIDENCES","09",5
"2654","THE RIVERINA","18",18
"2655","THE RIVERINE BY THE PARK","12",8
"2656","THE RIVERSIDE PIAZZA","01",22
"2657","THE RIVERVALE","19",17
"2658","THE ROCHESTER","05",7
"2659","THE SAIL @ MARINA BAY","01",10
"2660","THE SANCTUARY @ GEYLANG","14",4
"2661","THE SANTORINI","18",0
"2662","THE SCALA","19",4
"2663","THE SCENIC @ BRADDELL","13",NA
"2664","THE SCOTTS TOWER","09",1
"2665","THE SEAFRONT ON MEYER","15",8
"2666","THE SEAVIEW","15",10
"2667","THE SEAWIND","15",3
"2668","THE SENSORIA","26",11
"2669","THE SENTINEL","11",NA
"2670","THE SERENADE @ HOLLAND","10",14
"2671","THE SERENNIA","15",6
"2672","THE SERENNO","15",2
"2673","THE SHAUGHNESSY","27",11
"2674","THE SHELFORD","11",13
"2675","THE SHORE RESIDENCES","15",4
"2676","THE SHORELINE RESIDENCES I","27",3
"2677","THE SHORELINE RESIDENCES II","27",2008
"2678","THE SIENA","10",-2
"2679","THE SIERRA","10",20
"2680","THE SILVA GARDENS","19",11
"2681","THE SILVER FIR","15",6
"2682","THE SILVER SPURZ","19",11
"2683","THE SILVERTON","15",18
"2684","THE SIXTH AVENUE RESIDENCES","10",9
"2685","THE SKYWOODS","23",3
"2686","THE SOLITAIRE","10",9
"2687","THE SORRENTO","05",3
"2688","THE SOUND","15",5
"2689","THE SOVEREIGN","15",25
"2690","THE SPECTRUM","05",12
"2691","THE SPINNAKER","11",18
"2692","THE SPRINGBLOOM","19",19
"2693","THE SPRINGFIELD","16",19
"2694","THE SPRINGS","11",15
"2695","THE SPRINGSIDE","27",19
"2696","THE STELLAR","05",10
"2697","THE STERLING","21",18
"2698","THE SUITES @ CENTRAL","09",9
"2699","THE SUMMIT","16",24
"2700","THE SUNFLOWER","14",NA
"2701","THE SUNNIDORA","15",12
"2702","THE SUNNIFLORA","14",13
"2703","THE SUNNY LEGEND","15",12
"2704","THE SUNNY SPRING","14",20
"2705","THE SUNNYDALE","19",16
"2706","THE SUNSHINE","19",15
"2707","THE TAIPAN","16",15
"2708","THE TANAMERA","16",24
"2709","THE TATE RESIDENCES","09",8
"2710","THE TEMBUSU","19",0
"2711","THE TENERIFFE","10",14
"2712","THE TENNERY","23",5
"2713","THE TERRACE","19",0
"2714","THE TESSARINA","10",15
"2715","THE THOMSON DUPLEX","11",8
"2716","THE TIER","12",5
"2717","THE TOMLINSON","10",15
"2718","THE TOP RESIDENCE","19",NA
"2719","THE TREELINE","15",9
"2720","THE TRESOR","10",11
"2721","THE TREVOSE","11",17
"2722","THE TRILINQ","05",1
"2723","THE TRILLIUM","09",8
"2724","THE TRIZON","10",6
"2725","THE TROPIC GARDENS","16",23
"2726","THE TROPICA","18",17
"2727","THE TRUMPS","14",13
"2728","THE TWINS","10",16
"2729","THE URBANITE","08",4
"2730","THE VALES","19",1
"2731","THE VANDERLINT","15",3
"2732","THE VANTAGE","10",19
"2733","THE VENTANA","05",13
"2734","THE VENUE RESIDENCES","13",1
"2735","THE VERMONT ON CAIRNHILL","09",NA
"2736","THE VERTE","15",7
"2737","THE VERV @ RV","10",6
"2738","THE VERVE","12",6
"2739","THE VESTA","15",10
"2740","THE VIEW @ MEYER","15",9
"2741","THE VILLAS @ SENTOSA COVE","04",11
"2742","THE VILLAS OF YARWOOD","21",17
"2743","THE VINES","14",14
"2744","THE VIRIDIAN","12",4
"2745","THE VISION","05",5
"2746","THE VUE","19",4
"2747","THE WARREN","23",14
"2748","THE WATER EDGE","14",3
"2749","THE WATERINA","14",13
"2750","THE WATERLINE","19",5
"2751","THE WATERSIDE","15",25
"2752","THE WHARF RESIDENCES","09",6
"2753","THE WHITLEY RESIDENCES","11",1
"2754","THE WILSHIRE","10",34
"2755","THE WINDSOR","20",31
"2756","THE WISTERIA","27",0
"2757","THE WOODGROVE","25",20
"2758","THE WOODS","22",2
"2759","THE YARDLEY","19",13
"2760","THOMSON 800 CONDO","11",19
"2761","THOMSON EURO-ASIA","11",16
"2762","THOMSON GARDEN ESTATE","20",NA
"2763","THOMSON GRAND","20",3
"2764","THOMSON GROVE","26",34
"2765","THOMSON IMPERIAL COURT","20",19
"2766","THOMSON IMPRESSIONS","20",-1
"2767","THOMSON PARK","20",NA
"2768","THOMSON RIDGE ESTATE","20",NA
"2769","THOMSON RISE ESTATE","20",NA
"2770","THOMSON THREE","20",1
"2771","THOMSON V ONE","20",10
"2772","THOMSON V TWO","20",9
"2773","THOMSON VALE","11",16
"2774","THOMSON VIEW CONDO","20",31
"2775","THONG SIA BUILDING","09",NA
"2776","THREE 11","20",1
"2777","THREE BALMORAL","10",2
"2778","THREE BUCKLEY","11",9
"2779","THREE THREE ROBIN","10",12
"2780","THYE SHAN MANSION","01",NA
"2781","TIAN COURT","15",30
"2782","TIANSO HEIGHTS","11",NA
"2783","TIARA","09",23
"2784","TIARA VISTA","15",NA
"2785","TIERRA VUE","15",9
"2786","TILTON","10",NA
"2787","TIVOLI GARDENS","19",19
"2788","TIVOLI GRANDE","15",6
"2789","TIVOLI LODGE","14",NA
"2790","TOA PAYOH RISE APARTMENTS","11",NA
"2791","TOH TUCK GARDEN","21",NA
"2792","TOH TUCK HILL ESTATE","21",NA
"2793","TOH TUCK LODGE","21",NA
"2794","TOH TUCK VILLA","21",NA
"2795","TOH YI COURT","21",32
"2796","TOHO GREEN","19",NA
"2797","TOHO MANSION","10",NA
"2798","TOMLINSON HEIGHTS","10",2
"2799","TONG KONG GARDENS","19",NA
"2800","TOP TEN APARTMENT","09",NA
"2801","TOPAZ MANSIONS","12",24
"2802","TORIE MANSIONS","15",25
"2803","TORIEVIEW MANSIONS","14",23
"2804","TORIEVILLE","14",24
"2805","TOWNERVILLE","12",NA
"2806","TOWNHOUSE APARTMENTS","09",NA
"2807","TRE RESIDENCES","14",0
"2808","TREASURE GARDENS","19",NA
"2809","TREASURE ISLAND","04",NA
"2810","TREASURE LOFT","11",14
"2811","TREASURE MANSIONS","19",13
"2812","TREASURE ON BALMORAL","10",5
"2813","TREASURE PLACE","05",11
"2814","TREASURES @ G19","14",3
"2815","TREASURES @ G20","14",2
"2816","TREASURES @ G6","14",1
"2817","TREE HOUSE","23",5
"2818","TREESCAPE","15",2
"2819","TREETOPS EXECUTIVE RESIDENCES","10",NA
"2820","TRELLIS TOWERS","12",18
"2821","TRENDALE TOWER","09",34
"2822","TRESALVEO","20",6
"2823","TREVISTA","12",7
"2824","TREVOSE 12","11",16
"2825","TREVOSE PARK","11",27
"2826","TRIBECA BY THE WATERFRONT","09",8
"2827","TRILIGHT","11",6
"2828","TRILIVE","19",0
"2829","TROPICAL SPRING","18",15
"2830","TROPICANA CONDO","16",24
"2831","TROPICS @ HAIGSVILLE","15",9
"2832","TROPIKA EAST","14",2
"2833","TRUSSVILLE","19",NA
"2834","TUAN SING PARK","28",NA
"2835","TUDOR TEN","11",19
"2836","TULIP GARDEN","10",33
"2837","TURQUOISE","04",8
"2838","TWIN FOUNTAINS","25",2
"2839","TWIN HEIGHTS","12",18
"2840","TWIN PEAKS","09",4
"2841","TWIN REGENCY","03",11
"2842","TWIN WATERFALLS","19",3
"2843","TWO8ONE STUDIO","09",2012
"2844","TYRWHITT 139","08",10
"2845","UBER 388","15",3
"2846","UE SQUARE","09",21
"2847","ULTRA MANSION","11",NA
"2848","UNI BUILDING","15",NA
"2849","UNIQUE GARDENS","21",NA
"2850","UNIT 8","10",NA
"2851","UNITED MANSION","15",NA
"2852","UNIVERSITY PARK","11",21
"2853","UP @ ROBERTSON QUAY","09",2
"2854","UPPER SERANGOON SHOPPING CENTRE","19",NA
"2855","URBAN HERITAGE","12",3
"2856","URBAN LOFTS","08",7
"2857","URBAN RESIDENCES","19",4
"2858","URBAN RESORT CONDOMINIUM","09",4
"2859","URBAN SUITES","09",5
"2860","URBAN VILLAS","19",2
"2861","URBAN VISTA","16",2
"2862","URBANA","09",11
"2863","URBANEDGE @ HOLLAND V","10",11
"2864","V ON SHENTON","02",1
"2865","VA RESIDENCES","12",2
"2866","VACANZA @ EAST","14",4
"2867","VALLEY HOUSE","10",NA
"2868","VALLEY LODGE","10",NA
"2869","VALLEY MANSION","09",48
"2870","VALLEY PARK","10",21
"2871","VANADIUM","08",11
"2872","VARSITY PARK","05",11
"2873","VAUGHAN GARDEN","13",NA
"2874","VENEZIO","16",11
"2875","VENTUNO BALMORAL","10",9
"2876","VENTURA HEIGHTS","10",7
"2877","VENTURA VIEW","15",8
"2878","VERANDA","15",14
"2879","VERDANA VILLAS","19",5
"2880","VERDUN HOUSE","08",NA
"2881","VERDURE","10",6
"2882","VERSAILLES","15",24
"2883","VERSILIA ON HAIG","15",8
"2884","VERTIS","15",10
"2885","VETRO","12",8
"2886","VIBES @ EAST COAST","15",3
"2887","VIBES @ KOVAN","19",3
"2888","VIBES @ UPPER SERANGOON","19",2
"2889","VICENTA LODGE","14",25
"2890","VICTORIA PARK","10",NA
"2891","VICTORY 8","27",4
"2892","VICTORY HEIGHTS","12",21
"2893","VIDA","09",9
"2894","VIENTO","14",3
"2895","VIIO @ BALESTIER","12",1
"2896","VILLA AZURA","10",19
"2897","VILLA BEGONIA","28",20
"2898","VILLA CHANCERITA","11",26
"2899","VILLA CHANCERY","11",NA
"2900","VILLA D'ESTE","10",33
"2901","VILLA DE WEST","05",23
"2902","VILLA DELLE","19",NA
"2903","VILLA DELLE ROSE","10",36
"2904","VILLA DES FLORES","11",33
"2905","VILLA MADELEINE","09",NA
"2906","VILLA MARINA","15",19
"2907","VILLA MARTIA","15",18
"2908","VILLA VERDE","23",18
"2909","VILLAGE @ PASIR PANJANG","05",2
"2910","VILLAGE TOWER","10",35
"2911","VILLAS @ GILSTEAD","11",8
"2912","VILLAS AT KEW","16",21
"2913","VILLAS HOLLAND","10",14
"2914","VILLAS LAGUNA","16",25
"2915","VILLE ROYALE","09",25
"2916","VINA LODGE","19",16
"2917","VISIN APARTMENT","11",NA
"2918","VISIONCREST RESIDENCE","09",11
"2919","VISTA GARDEN","21",NA
"2920","VISTA PARK","05",33
"2921","VISTA RESIDENCES","12",5
"2922","VITRA","15",9
"2923","VIVA","11",6
"2924","VIVA VISTA","05",3
"2925","VIVACE","09",6
"2926","VIZ @ HOLLAND","10",10
"2927","VOGX","08",8
"2928","VOLARI","10",6
"2929","VUE 8 RESIDENCE","18",1
"2930","WAI WING CENTRE","12",NA
"2931","WALDORF MANSIONS","12",NA
"2932","WAN THO LODGE","13",NA
"2933","WANDERVALE","23",-1
"2934","WANG LODGE","14",NA
"2935","WARNER COURT","10",NA
"2936","WATER PLACE","15",13
"2937","WATER TERRACE","19",10
"2938","WATER VILLAS","19",6
"2939","WATERBANK AT DAKOTA","14",6
"2940","WATERCOLOURS","18",2
"2941","WATERCREST","17",25
"2942","WATERFALL GARDENS","10",8
"2943","WATERFORD RESIDENCE","09",8
"2944","WATERFORD TERRACE","05",NA
"2945","WATERFRONT @ FABER","05",1
"2946","WATERFRONT GOLD","16",4
"2947","WATERFRONT ISLE","16",3
