condo_name,top_year,km_mrt
ELEVEN @ HOLLAND,2014,
ELIAS GREEN,1994,0.78 - PASIR RIS
ELIAS TERRACE,1994,
ELIZABETH HEIGHTS,1985,0.54 - NEWTON
ELIZABETH TOWERS,1980,0.55 - ORCHARD
ELLIOT AT THE EAST COAST,2013,
EMERALD EAST,1998,0.72 - MOUNTBATTEN
EMERALD GARDEN,1998,0.26 - TELOK AYER
EMERALD PARK,1993,0.51 - TIONG BAHRU
EMERY POINT,2003,
EMILY RESIDENCE,2006,0.3 - LITTLE INDIA
EMPRADO SUITES,2008,1.17 - KEMBANGAN
ENG KONG GREEN,1999,
ENVIO,2010,
EON SHENTON,2019,
EQUATORIAL APARTMENTS,1977,
ESCADA VIEW,1997,
ESPA,2008,0.08 - CASHEW
ESPACE,2008,
ESPADA,2013,0.34 - SOMERSET
ESPARINA RESIDENCES,2014,
ESPIRA RESIDENCE,2010,
ESPIRA SPRING,2010,
ESPIRA SUITES,2013,
ESTA RUBY,2010,
ESTE VILLAS,2014,
ESTELLA GARDENS,1999,1.5 - TAMPINES EAST
ESTERINA,2009,
ESTILO,2009,
ESTIQUE,2007,
ESTRIVILLAS,2013,
ETON COURT,2004,
EUHABITAT,2016,
EUNOS GREEN,1998,
EUNOS MANSION,1982,
EUNOS PARK,1995,
EUNOS VILLE,1987,
EUPHONY GARDENS,2002,1.23 - YISHUN
EURO-ASIA APARTMENTS,1990,
EURO-ASIA COURT,1994,0.63 - SOMERSET
EURO-ASIA LODGE,1998,
EURO-ASIA PARK,1996,
EVANIA,2012,
EVELYN MANSIONS,1998,0.48 - NEWTON
EVERGREEN PARK,1999,
EVERGREEN VIEW,2011,
EVERITT EDGE,2015,
EWE BOON REGENT,2000,0.64 - STEVENS
EXCELLENCE MANSIONS,1991,
EXCELSIOR GARDENS,1991,
FABER CREST,2002,
FABER GARDEN CONDO,1984,
FABER HILLS APARTMENTS,1978,
FAEZ BUILDING,2006,
FAIRLODGE APARTMENT,1999,
FAIRMOUNT CONDO,2000,0.15 - SUNGEI BEDOK
FAIRWOOD PARK,1993,
FAR HORIZON GARDEN,1987,0.67 - YIO CHU KANG
FARRER PARK SUITES,2011,
FERNHILL COTTAGE,2000,0.82 - STEVENS
FERNHILL COURT,1981,0.77 - STEVENS
FERNHILL LODGE,1991,0.72 - STEVENS
FERNWOOD TERRACE,1992,
FERNWOOD TOWERS,1994,1.71 - BEDOK
FERRA,2017,
FERRARIA PARK,2010,1.11 - TAMPINES EAST
FERRELL RESIDENCES,2013,
FIFTEEN ROBIN,2012,
FIFTH AVENUE CONDO,1998,0.15 - SIXTH AVENUE
FIFTY-TWO STEVENS,2012,
FINLAND GARDENS,1989,
FIORENZA,2012,
FIRST POINT SUITES,2013,
FIVE CHANCERY,2011,
FLAME TREE PARK,1989,
FLAMINGO VALLEY,2014,1.1 - KEMBANGAN
FLO RESIDENCE,2016,1.8 - PUNGGOL
FLORA EAST,1993,
FLORAVIEW,2018,
FLORAVILLE,2018,
FLORIDA PARK,1993,
FLORIDIAN,2011,0.34 - KING ALBERT PARK
FLORISSA PARK,1988,
FLYNN PARK,1986,0.26 - PASIR PANJANG
FONTAINE PARRY,2010,
FONTANA HEIGHTS,1985,0.48 - DOVER
FORESQUE RESIDENCES,2015,
FOREST HILLS,2004,2.21 - KHATIB
FORESTVILLE,2016,
FORT GARDENS,1993,0.8 - MOUNTBATTEN
FORTE SUITES,2018,
FORTUNE JADE,2004,0.59 - DAKOTA
FORTUNE PARK,1996,
FORTUNE SPRING,2003,
