"","name","type","rent","date"
"260","CLEMENTI PARK","Condo","1.93","18"
"261","VACANZA @ EAST","Condo","2.97","18"
"262","THE MARQUE @ IRRAWADDY","Condo","3.35","18"
"263","THE SAIL @ MARINA BAY","Condo","5.6","18"
"264","TESSERINA CONDO","Condo","2.65","18"
"265","THE PARC CONDOMINIUM","Condo","2.31","18"
"266","4A BLK 259C COMPASSVALE ROAD ","NA","2.17","18"
"267","TREASURE ON BALMORAL","Condo","3.7","18"
"268","SAGE @ 11A NASSIM ROAD","Condo","5.69","18"
"269","TRIO","NA","7.61","18"
"270","TRIO","NA","8.45","18"
"271","VACANZA @ EAST","Condo","2.97","18"
"272","THE MARQUE @ IRRAWADDY","Condo","3.35","18"
"273","THE SAIL @ MARINA BAY","Condo","5.6","18"
"274","TESSERINA CONDO","Condo","2.65","18"
"275","THE PARC CONDOMINIUM","Condo","2.31","18"
"276","4A BLK 259C COMPASSVALE ROAD ","NA","2.17","18"
"277","TREASURE ON BALMORAL","Condo","3.7","18"
"278","SAGE @ 11A NASSIM ROAD","Condo","5.69","18"
"279","TRIO","NA","7.61","18"
"280","TRIO","NA","8.45","18"
"281","TRIO","NA","10.36","18"
"282","TRIO","NA","7.82","18"
"283","TRIO","NA","9.68","18"
"284","TRIO","NA","10.61","18"
"285","MULBERRY TREE","Condo","3.94","18"
"286","THE HOLLAND COLLECTION","Condo","3.37","18"
"287","THE PIER @ ROBERTSON","Condo","5.18","18"
"288","PEACH GARDEN","NA","1.67","18"
"289","9 SELEGIE ROAD","NA","3.33","18"
"290","THE BAYSHORE ","Condo","2.91","18"
"291","SOMMERVILLE PARK","Condo","3.56","18"
"292","THE CENTRAL","NA","9.81","18"
"293","TRIO","NA","9.51","18"
"294","TRIO","NA","6.95","18"
"295","E MAISON","Condo","3.81","18"
"296","THE WATERINA","Condo","3.94","18"
"297","HOLLAND RESIDENES ","Condo","4.32","18"
"298","BELMONT  ESTATE","NA","3.61","18"
"299","HDB @ WOODLANDS","NA","1.86","18"
"300","1 FABER HEIGHTS","NA","1.67","18"
"301","SOMMERVILLE PARK","Condo","3.56","18"
"302","THE CENTRAL","NA","9.81","18"
"303","TRIO","NA","9.51","18"
"304","TRIO","NA","6.95","18"
"305","E MAISON","Condo","3.81","18"
"306","THE WATERINA","Condo","3.94","18"
"307","HOLLAND RESIDENES ","Condo","4.32","18"
"308","BELMONT  ESTATE","NA","3.61","18"
"309","HDB @ WOODLANDS","NA","1.86","18"
"310","1 FABER HEIGHTS","NA","1.67","18"
"311","URBAN RESIDENCES","Condo","3.93","18"
"312","CENTRO RESIDENCES","Condo","4.42","18"
"313","PARC OASIS","Condo","2.43","18"
"314","THE BEACON","Condo","4.42","18"
"315","EMERALD GARDEN","Condo","3.89","18"
"316","CAIRNHILL RESIDENCES","Condo","5.53","18"
"317","PARKWAY VIEW","Condo","2.59","18"
"318","SILVERSEA","Condo","3.44","18"
"319","ALTEZ","Condo","5.97","18"
"320","CYAN","Condo","4.58","18"
"321","NOUVEL 18","Condo","5.25","18"
"322","NOUVEL 18","Condo","5.33","18"
"323","NOUVEL 18","Condo","5.13","18"
"324","CLIVEDEN AT GRANGE","Condo","4.4","18"
"325","CLIVEDEN AT GRANGE","Condo","4.27","18"
"326","LA FIESTA","Condo","4.25","18"
"327","THE SAIL @ MARINA BAY","Condo","4.89","18"
"328","NASSIM WOODS","Condo","3.52","18"
"329","CLIVEDEN AT GRANGE","Condo","3.89","18"
"330","SPOTTISWOODE RESIDENCES","Condo","5.32","18"
"331","NOUVEL 18","Condo","5.25","18"
"332","NOUVEL 18","Condo","5.33","18"
"333","NOUVEL 18","Condo","5.13","18"
"334","CLIVEDEN AT GRANGE","Condo","4.4","18"
"335","CLIVEDEN AT GRANGE","Condo","4.27","18"
"336","LA FIESTA","Condo","4.25","18"
"337","THE SAIL @ MARINA BAY","Condo","4.89","18"
"338","NASSIM WOODS","Condo","3.52","18"
"339","CLIVEDEN AT GRANGE","Condo","3.89","18"
"340","SPOTTISWOODE RESIDENCES","Condo","5.32","18"
"341","CORONATION  WEST PARK","NA","4.48","18"
"342","ST REGIS RESIDENCES","Condo","5.02","18"
"343","BARKER RD","NA","3.82","18"
"344","EMERALD PARK","Condo","3.35","18"
"345","VILLA AZURA","Condo","2.5","18"
"346","THE PINNACLE@DUXTON","NA","3.3","18"
"347","WHITE WATER ","Condo","2.71","18"
"348","ORCHARD SCOTTS RESIDENCES","NA","5.37","18"
"349","SEMI-D","NA","2.67","18"
"350","DUCHESS ","NA","2.89","18"
"351","TEMPCO TECHNOMINIUM","NA","3.2","18"
"352","LLOYD SIXTYFIVE","NA","4.95","18"
"353","HOLLYWOOD APARTMENTS","Condo","3","18"
"354","76 SHENTON","Condo","5.61","18"
"355","SILVERSEA","Condo","4.2","18"
"356","THE SHORE RESIDENCES","Condo","4.39","18"
"357","THE SHORE RESIDENCES","Condo","3.6","18"
"358","THE SHORE RESIDENCES","Condo","3.87","18"
"359","THE SHORE RESIDENCES","Condo","3.99","18"
"360","ROCHELLE AT NEWTON","Condo","4.32","18"
"361","TEMPCO TECHNOMINIUM","NA","3.2","18"
"362","LLOYD SIXTYFIVE","NA","4.95","18"
"363","HOLLYWOOD APARTMENTS","Condo","3","18"
"364","76 SHENTON","Condo","5.61","18"
"365","SILVERSEA","Condo","4.2","18"
"366","THE SHORE RESIDENCES","Condo","4.39","18"
"367","THE SHORE RESIDENCES","Condo","3.6","18"
"368","THE SHORE RESIDENCES","Condo","3.87","18"
"369","THE SHORE RESIDENCES","Condo","3.99","18"
"370","ROCHELLE AT NEWTON","Condo","4.32","18"
"371","THE METROPOLITAN","Condo","4.17","18"
"372","AWARD DESIGN SEMI-D D9","NA","3.91","18"
"373","DESIGNER SEMI-D @ S.GDN","NA","1.79","18"
"374","PARC VISTA ","NA","2.17","18"
"375","SUN TRELLIS","NA","2.01","18"
"376","THE MERCURY @ D9-SHANGHAI ROAD","NA","4.21","18"
"377","BRENTWOOD VILLAS","NA","4.13","18"
"378","THE BLOSSOMVALE","Condo","3.1","18"
"379","SKY @ ELEVEN","Condo","3.98","18"
"380","THE CLIFT","NA","4.18","18"
"381","KURAU GROVE","NA","2.6","18"
"382","THE WINDSOR","Condo","1.53","18"
"383","CENTRAL SQUARE","NA","17.44","18"
"384","THE CENTRAL","NA","9.5","18"
"385","TEMPCO TECHNOMINIUM","NA","3.2","18"
"386","ORCHARD COURT","Condo","3.66","18"
"387","ORCHARD RENDEZVOUS HOTEL, SINGAPORE","NA","8.5","18"
"388","ORCHARD RENDEZVOUS HOTEL, SINGAPORE","NA","7","18"
"389","TEMPCO TECHNOMINIUM","NA","3.2","18"
"390","CENTRAL SQUARE","NA","7.8","18"
"391","KURAU GROVE","NA","2.6","18"
"392","THE WINDSOR","Condo","1.53","18"
"393","CENTRAL SQUARE","NA","17.44","18"
"394","THE CENTRAL","NA","9.5","18"
"395","TEMPCO TECHNOMINIUM","NA","3.2","18"
"396","ORCHARD COURT","Condo","3.66","18"
"397","ORCHARD RENDEZVOUS HOTEL, SINGAPORE","NA","8.5","18"
"398","ORCHARD RENDEZVOUS HOTEL, SINGAPORE","NA","7","18"
"399","TEMPCO TECHNOMINIUM","NA","3.2","18"
"400","CENTRAL SQUARE","NA","7.8","18"
"401","TEMPCO TECHNOMINIUM","NA","3.2","18"
"402","FAR EAST SQUARE","NA","6.5","18"
